index,duration,item,network,network_type
0,34.429,data,data,data
1,13,call,Vodafone,mobile
2,23,call,Meteor,mobile
3,4,call,Tesco,mobile
4,4,call,Tesco,mobile
5,4,call,Tesco,mobile
6,34.429,data,data,data
7,602,call,Three,mobile
8,1050,call,Three,mobile
9,19,call,voicemail,voicemail
10,1183,call,Three,mobile
11,1,sms,Meteor,mobile
12,1,sms,Meteor,mobile
13,34.429,data,data,data
14,1,sms,Tesco,mobile
15,1,sms,Tesco,mobile
16,1,sms,Meteor,mobile
17,1,sms,Vodafone,mobile
18,1,sms,Vodafone,mobile
19,92,call,Three,mobile
20,4,call,Vodafone,mobile
21,375,call,Tesco,mobile
22,1,sms,Vodafone,mobile
23,1,sms,Vodafone,mobile
24,1,sms,Vodafone,mobile
25,1,sms,Vodafone,mobile
26,34.429,data,data,data
27,783,call,Tesco,mobile
28,4,call,Vodafone,mobile
29,3,call,Vodafone,mobile
30,101,call,Vodafone,mobile
31,1714,call,Three,mobile
32,96,call,voicemail,voicemail
33,1,sms,Vodafone,mobile
34,384,call,Three,mobile
35,4,call,Three,mobile
36,1,sms,Three,mobile
37,1,sms,Vodafone,mobile
38,1,sms,Three,mobile
39,34.429,data,data,data
40,53,call,Three,mobile
41,86,call,Tesco,mobile
42,23,call,Three,mobile
43,38,call,Three,mobile
44,428,call,Three,mobile
45,34.429,data,data,data
46,69,call,voicemail,voicemail
47,18,call,voicemail,voicemail
48,3,call,Vodafone,mobile
49,6,call,landline,landline
50,5,call,Tesco,mobile
51,131,call,Vodafone,mobile
52,1,sms,Vodafone,mobile
53,1,sms,Vodafone,mobile
54,34.429,data,data,data
55,550,call,Three,mobile
56,34.429,data,data,data
57,7,call,Three,mobile
58,34.429,data,data,data
59,1940,call,landline,landline
60,281,call,Meteor,mobile
61,1,sms,Tesco,mobile
62,1,sms,Vodafone,mobile
63,1,sms,Vodafone,mobile
64,24,call,Vodafone,mobile
65,263,call,Meteor,mobile
66,34.429,data,data,data
67,1,sms,Vodafone,mobile
68,1,sms,Vodafone,mobile
69,1,sms,Vodafone,mobile
70,1,sms,Vodafone,mobile
71,1,sms,Vodafone,mobile
72,1,sms,Vodafone,mobile
73,1,sms,Vodafone,mobile
74,1,sms,Vodafone,mobile
75,1,sms,Three,mobile
76,1,sms,Vodafone,mobile
77,1,sms,Vodafone,mobile
78,387,call,Tesco,mobile
79,1,sms,Vodafone,mobile
80,34.429,data,data,data
81,34.429,data,data,data
82,4,call,Three,mobile
83,637,call,Tesco,mobile
84,28,call,Meteor,mobile
85,62,call,Three,mobile
86,3,call,Tesco,mobile
87,34.429,data,data,data
88,146,call,Three,mobile
89,48,call,Three,mobile
90,862,call,Three,mobile
91,25,call,Three,mobile
92,34.429,data,data,data
93,833,call,landline,landline
94,206,call,Tesco,mobile
95,34.429,data,data,data
96,442,call,Vodafone,mobile
97,34.429,data,data,data
98,463,call,Vodafone,mobile
99,4,call,Vodafone,mobile
100,4,call,Meteor,mobile
101,34.429,data,data,data
102,1,sms,Vodafone,mobile
103,1,sms,Vodafone,mobile
104,5,call,Three,mobile
105,1234,call,Tesco,mobile
106,43,call,Three,mobile
107,1,sms,Three,mobile
108,1,sms,Three,mobile
109,483,call,Meteor,mobile
110,3,call,Tesco,mobile
111,34.429,data,data,data
112,955,call,Vodafone,mobile
113,4,call,Tesco,mobile
114,34.429,data,data,data
115,459,call,Three,mobile
116,1023,call,Three,mobile
117,1025,call,Three,mobile
118,169,call,Meteor,mobile
119,8,call,Meteor,mobile
120,34.429,data,data,data
121,1,sms,special,special
122,135,call,Three,mobile
123,7,call,Vodafone,mobile
124,37,call,Vodafone,mobile
125,1,sms,Vodafone,mobile
126,5,call,Three,mobile
127,123,call,landline,landline
128,4,call,Tesco,mobile
129,90,call,Vodafone,mobile
130,3,call,Tesco,mobile
131,34.429,data,data,data
132,1,sms,Vodafone,mobile
133,1,sms,Vodafone,mobile
134,1,sms,Three,mobile
135,1,sms,Three,mobile
136,1,call,voicemail,voicemail
137,98,call,voicemail,voicemail
138,1,sms,Three,mobile
139,8,call,Meteor,mobile
140,9,call,Meteor,mobile
141,4,call,Meteor,mobile
142,1,sms,Three,mobile
143,1,sms,Meteor,mobile
144,1,sms,Meteor,mobile
145,1,sms,Three,mobile
